Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
118,CC1=CC=C(S(O)(=O)=O)C=C1,,,CCC(C)(O)C,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,nil
119,CC1=CC=C(S(O)(=O)=O)C=C1,,,CCC(C)(O)C,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,nil
120,CC1=CC=C(S(O)(=O)=O)C=C1,,,CCC(C)(O)C,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,nil
121,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,27
122,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,29
123,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,27
124,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC(C)=CC(C)=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,37
125,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC(C)=CC(C)=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,27
126,CC1=CC=C(S(O)(=O)=O)C=C1,,,CC1=CC(C)=CC(C)=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,8,27
127,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,2,23
128,CC1=CC=C(S(O)(=O)=O)C=C1,,,FC(F)(F)C1=CC=CC=C1,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,,0,0,21,,10,4,25
